SampleID;Plate;Position;Row;Col;CellLine;gRNA;KO;DIFF;RAPA
DE89NGSUKBR112934;1;C10;C;10;D62;2.2;TRUE;FALSE;FALSE
DE62NGSUKBR112935;1;C11;C;11;D62;2.2;TRUE;FALSE;FALSE
DE35NGSUKBR112936;1;C12;C;12;D62;2.2;TRUE;FALSE;FALSE
DE08NGSUKBR112937;1;D01;D;01;ReN;NTC;FALSE;TRUE;TRUE
DE78NGSUKBR112938;1;D02;D;02;ReN;NTC;FALSE;TRUE;TRUE
DE51NGSUKBR112939;1;D03;D;03;ReN;NTC;FALSE;TRUE;TRUE
DE24NGSUKBR112940;1;D04;D;04;ReN;NTC;FALSE;TRUE;FALSE
DE94NGSUKBR112941;1;D05;D;05;ReN;NTC;FALSE;TRUE;FALSE
DE67NGSUKBR112942;1;D06;D;06;ReN;NTC;FALSE;TRUE;FALSE
DE40NGSUKBR112943;1;D07;D;07;ReN;2.1;TRUE;TRUE;TRUE
DE13NGSUKBR112944;1;D08;D;08;ReN;2.1;TRUE;TRUE;TRUE
DE83NGSUKBR112945;1;D09;D;09;ReN;2.1;TRUE;TRUE;TRUE
DE56NGSUKBR112946;1;D10;D;10;ReN;2.1;TRUE;TRUE;FALSE
DE29NGSUKBR112947;1;D11;D;11;ReN;2.1;TRUE;TRUE;FALSE
DE02NGSUKBR112948;1;D12;D;12;ReN;2.1;TRUE;TRUE;FALSE
DE72NGSUKBR112949;1;E01;E;01;ReN;2.2;TRUE;TRUE;TRUE
DE45NGSUKBR112950;1;E02;E;02;ReN;2.2;TRUE;TRUE;TRUE
DE18NGSUKBR112951;1;E03;E;03;ReN;2.2;TRUE;TRUE;TRUE
DE88NGSUKBR112952;1;E04;E;04;ReN;2.2;TRUE;TRUE;FALSE
DE61NGSUKBR112953;1;E05;E;05;ReN;2.2;TRUE;TRUE;FALSE
DE34NGSUKBR112954;1;E06;E;06;ReN;2.2;TRUE;TRUE;FALSE
DE07NGSUKBR112955;1;E07;E;07;ReN;NTC;FALSE;FALSE;TRUE
DE77NGSUKBR112956;1;E08;E;08;ReN;NTC;FALSE;FALSE;TRUE
DE50NGSUKBR112957;1;E09;E;09;ReN;NTC;FALSE;FALSE;TRUE
DE23NGSUKBR112958;1;E10;E;10;ReN;NTC;FALSE;FALSE;FALSE
DE93NGSUKBR112959;1;E11;E;11;ReN;NTC;FALSE;FALSE;FALSE
DE66NGSUKBR112960;1;E12;E;12;ReN;NTC;FALSE;FALSE;FALSE
DE39NGSUKBR112961;1;F01;F;01;ReN;2.1;TRUE;FALSE;TRUE
DE12NGSUKBR112962;1;F02;F;02;ReN;2.1;TRUE;FALSE;TRUE
DE82NGSUKBR112963;1;F03;F;03;ReN;2.1;TRUE;FALSE;TRUE
DE55NGSUKBR112964;1;F04;F;04;ReN;2.1;TRUE;FALSE;FALSE
DE28NGSUKBR112965;1;F05;F;05;ReN;2.1;TRUE;FALSE;FALSE
DE98NGSUKBR112966;1;F06;F;06;ReN;2.1;TRUE;FALSE;FALSE
DE71NGSUKBR112967;1;F07;F;07;ReN;2.2;TRUE;FALSE;TRUE
DE44NGSUKBR112968;1;F08;F;08;ReN;2.2;TRUE;FALSE;TRUE
DE17NGSUKBR112969;1;F09;F;09;ReN;2.2;TRUE;FALSE;TRUE
DE87NGSUKBR112970;1;F10;F;10;ReN;2.2;TRUE;FALSE;FALSE
DE60NGSUKBR112971;1;F11;F;11;ReN;2.2;TRUE;FALSE;FALSE
DE33NGSUKBR112972;1;F12;F;12;ReN;2.2;TRUE;FALSE;FALSE
DE06NGSUKBR112973;1;G01;G;01;D244;NTC;FALSE;TRUE;TRUE
DE76NGSUKBR112974;1;G02;G;02;D244;NTC;FALSE;TRUE;TRUE
DE49NGSUKBR112975;1;G03;G;03;D244;NTC;FALSE;TRUE;TRUE
DE22NGSUKBR112976;1;G04;G;04;D244;NTC;FALSE;TRUE;FALSE
DE92NGSUKBR112977;1;G05;G;05;D244;NTC;FALSE;TRUE;FALSE
DE65NGSUKBR112978;1;G06;G;06;D244;NTC;FALSE;TRUE;FALSE
DE38NGSUKBR112979;1;G07;G;07;D244;2.1;TRUE;TRUE;TRUE
DE11NGSUKBR112980;1;G08;G;08;D244;2.1;TRUE;TRUE;TRUE
DE81NGSUKBR112981;1;G09;G;09;D244;2.1;TRUE;TRUE;TRUE
DE54NGSUKBR112982;1;G10;G;10;D244;2.1;TRUE;TRUE;FALSE
DE27NGSUKBR112983;1;G11;G;11;D244;2.1;TRUE;TRUE;FALSE
DE97NGSUKBR112984;1;G12;G;12;D244;2.1;TRUE;TRUE;FALSE
DE70NGSUKBR112985;1;H01;H;01;D244;2.2;TRUE;TRUE;TRUE
DE43NGSUKBR112986;1;H02;H;02;D244;2.2;TRUE;TRUE;TRUE
DE16NGSUKBR112987;1;H03;H;03;D244;2.2;TRUE;TRUE;TRUE
DE86NGSUKBR112988;1;H04;H;04;D244;2.2;TRUE;TRUE;FALSE
DE59NGSUKBR112989;1;H05;H;05;D244;2.2;TRUE;TRUE;FALSE
DE32NGSUKBR112990;1;H06;H;06;D244;2.2;TRUE;TRUE;FALSE
DE05NGSUKBR112991;1;H07;H;07;D244;NTC;FALSE;FALSE;TRUE
DE75NGSUKBR112992;1;H08;H;08;D244;NTC;FALSE;FALSE;TRUE
DE48NGSUKBR112993;1;H09;H;09;D244;NTC;FALSE;FALSE;TRUE
DE21NGSUKBR112994;1;H10;H;10;D244;NTC;FALSE;FALSE;FALSE
DE91NGSUKBR112995;1;H11;H;11;D244;NTC;FALSE;FALSE;FALSE
DE64NGSUKBR112996;1;H12;H;12;D244;NTC;FALSE;FALSE;FALSE
DE37NGSUKBR112997;2;A1;A;01;D244;2.1;TRUE;FALSE;TRUE
DE10NGSUKBR112998;2;A2;A;02;D244;2.1;TRUE;FALSE;TRUE
DE80NGSUKBR112999;2;A3;A;03;D244;2.1;TRUE;FALSE;TRUE
DE53NGSUKBR113000;2;A4;A;04;D244;2.1;TRUE;FALSE;FALSE
DE26NGSUKBR113001;2;A5;A;05;D244;2.1;TRUE;FALSE;FALSE
DE96NGSUKBR113002;2;A6;A;06;D244;2.1;TRUE;FALSE;FALSE
DE69NGSUKBR113003;2;A7;A;07;D244;2.2;TRUE;FALSE;TRUE
DE42NGSUKBR113004;2;A8;A;08;D244;2.2;TRUE;FALSE;TRUE
DE15NGSUKBR113005;2;A9;A;09;D244;2.2;TRUE;FALSE;TRUE
DE85NGSUKBR113006;2;A10;A;10;D244;2.2;TRUE;FALSE;FALSE
DE58NGSUKBR113007;2;A11;A;11;D244;2.2;TRUE;FALSE;FALSE
DE31NGSUKBR113008;2;A12;A;12;D244;2.2;TRUE;FALSE;FALSE
